ο	ο articlem sg<br>(definite) the
και	και conjunction<br>and<br>plus, and<br>past (time)
να	να particle<br>forms subjunctive<br>forms gerund<br><br>να interjection<br>Lo!
μου	μου pronoun<br>(personal, indirect object) me<br>(possessive) my<br><br>μου interjection<br>(onomatopoeia) moo; the characteristic sound made by a cow or bull.
που	που conjunction<br>that<br><br>που pronounrelative pronoun<br>that, who, whom, which<br>where
με	με preposition<br>with<br>by<br>by, on<br><br>με pronoun<br>me (1st person singular, accusative)
είμαι	είμαι verb<br>(most senses, location and existence) be<br>(intransitive) there is, there are, exist<br>(transitive) support, be a supporter of (team, political party etc)<br>(grammar, auxiliary verb) be + participles to form alternative passive perfect tenses
για	για preposition<br>(time, duration, takes accusative): for<br>(cause, reason, takes accusative): for<br>(use): for, by<br>(end, intention, destination, takes accusative or genitive): for<br>(about, takes accusative): about
από	από preposition<br>(position): from<br>(source, origin): from<br>(time): from, at, by, since<br>(cause): by, with, from<br>(measurement): from<br>(state): from<br>(arithmetic): out of, from
εγώ	εγώ pronounstrong personal pronoun<br>I (1st person singular, nominative)<br><br>εγώ noun<br>(psychology) ego<br>selfishness
ένας	ένας articlem<br>(indefinite) a, an
σε	σε pronoun<br>you (2nd person singular, accusative)<br><br>σε preposition<br>to, at, by, in, on, unto, upon
αυτός	αυτός determiner<br>this (masculine singular, nominative)<br><br>αυτός pronoun<br>(personal pronoun) he (3rd person masculine singular, nominative)<br>(demonstrative pronoun) this<br>(demonstrative pronoun) that
θα	θα particle<br>forms future tenses
έχω	έχω verb<br>have<br>be (have a property, characteristic)<br>feel, have feelings<br>(grammar, auxiliary verb) have +verbs (or participles) to form perfect tenses.
δε(ν)	δε(ν) particle<br>not (with indicative verbs)
ότι	ότι conjunction<br>that<br><br>ότι determiner<br>(common misspelling or informal) Alternative form of ό,τι (ó,ti)<br><br>ότι pronoun<br>(common misspelling or informal) Alternative form of ό,τι (ó,ti)
οποίος	οποίος pronounrelative pronoun<br>who, which, that<br>(interjection, without article) what, such
μπορώ	μπορώ verb<br>can, be able<br>may<br>(3rd person singular - μπορεί) it is possible
όλος	όλος adjective<br>whole, entire<br>all
αλλά	αλλά conjunction<br>but
ή	ή conjunction<br>or<br>ή ... ή<br>either … or
αν	αν conjunction<br>if<br>whether
άλλος	άλλος pronounindefinite, contrastive<br>other<br>else<br>someone else<br>more<br>next<br>(without article) dissimilar, different
κάνω	κάνω verb<br>do<br>make<br>cost<br>start or found (e.g. a company)<br>take (time)<br>is (weather - cloudy, hot, etc)<br>produce, give or yield (crop, produce)<br>act, impersonate, play a role<br>spend time
λέγω	λέγω verb<br>Alternative form of λέω (léo)
πολύς	πολύς adjective<br>much, many, a lot of<br>too much
όπως	όπως adverb<br>as, like<br><br>όπως preposition<br>as, like
